Tweet,Sentiment,Type,HS_Target,HS_Topic
 di saat semua cowok berusaha melacak perhatian gue kamu lantas remehkan perhatian yang gue kasih khusus ke kamu basic kamu cowok bego ,Negative,Hate Speech & Abusive,Individual,Other
 siapa yang telat memberi tau kamu edan sarap gue bergaul dengan cigax jifla calis sama siapa itu licew juga ,Negative,Abusive,Other,Other
41 kadang aku berpikir kenapa aku tetap percaya pada tuhan padahal aku selalu jatuh berkali kali kadang aku merasa tuhan itu meninggalkan aku sendirian ketika orang tuaku berencana berpisah ketika kakakku lebih memilih jadi kristen ketika aku anak ter,Positive,Neutral,Other,Other
 aku itu aku dan ku tau matamu sipit tapi dilihat dari mana itu aku ,Positive,Neutral,Other,Other
 kaum cebong kafir sudah kelihatan dongoknya dari awal tambah dungu lagi haha ,Negative,Hate Speech & Abusive,Group,Religion
 ya bani taplak dan kawan kawan xf0 x9f x98 x84 xf0 x9f x98 x84 xf0 x9f x98 x84 ,Negative,Hate Speech & Abusive,Group,Other
deklarasi pilihan kepala daerah 2018 aman dan anti hoaks warga dukuh sari jabon,Positive,Neutral,Other,Other
gue baru saja selesai re watch aldnoah zero paling kampret memang akhirnya 2 karakter utama cowoknya kena friendzone bro xd uniform resource locator,Negative,Abusive,Other,Other
nah admin belanja satu lagi po terbaik nak makan ais kepal milo ais kepal horlicks atau cendol toping kau kau doket mana itu gerai rozak me uaku taipan 2 depan kembar baby amp romantika bank islam senawang ,Positive,Neutral,Other,Other
 enak lagi kalau sambil ngewe ,Negative,Abusive,Other,Other
setidaknya gue punya jari tengah buat kamu sebelum gue ukur nyali sama bacot kamu xf0 x9f x98 x8f ,Negative,Hate Speech & Abusive,Individual,Other
 banci kaleng malu tidak bisa jawab pe anyaan kami dari 2 hari lalu nyungsep koe uniform resource locator,Negative,Hate Speech & Abusive,Individual,Gender
kalau belajar ekonomi mestinya jago memprivatisasi hati orang aduh ironi ,Positive,Neutral,Other,Other
aktor huru hara 98 prabowo si ingin lengserkan pemerintahan jokowi nyata,Negative,Hate Speech,Individual,Other
 bu guru enakan jadi jablay atau guru sekolah dasar sih kayaknya menikmati jadi pecun ini guru ,Negative,Hate Speech & Abusive,Individual,Gender
 lawan bicara gue tidak intelek kayak kamu yang otak tidak punya tentang kencing onta gue mengakui hadis nabi dan itu sahih kafir kayak kamu pasti menolak makanya kamu ahlun nar ,Negative,Hate Speech & Abusive,Individual,Religion
belakangan ini kok pikiran ampas banget ya ,Positive,Neutral,Other,Other
ari sama beki adalah rapi monyet xf0 x9f x98 x86 xf0 x9f x98 x86 ,Negative,Abusive,Other,Other
jadi cowok itu harus gantle kalau tidak gantle itu namanya banci ,Negative,Hate Speech & Abusive,Group,Gender
 alga mnr bom xf0 x9f x98 x82 ,Positive,Neutral,Other,Other
anjing ya tapi gue jarang mengambek takut wkwk gue kan budak cinta ,Negative,Abusive,Other,Other
 kalau kamu noob pasti peluang disakiti nya lebih gede sih ,Positive,Neutral,Other,Other
 joko widodo dinilai sebagai presiden terlemah dalam sejarah indonesia hal ini terjadi bukan saja karena jokowi tidak memiliki modal dukungan politik yang cukup melainkan juga karena ketidakmampuan pemerintahannya menghadapi situasi ekonomi tidak,Positive,Neutral,Other,Other
pelajar sama kecamatan bilah hilir deklarasi anti hoaks amp pilihan kepala daerah 2018 damai,Positive,Neutral,Other,Other
bandara udara internasional ke ajati dibangun oleh gubernur ahmad heryawan tanpa gunakan anggaran pendapatan dan belanja negara pemerintah pusat insya allah siap beroperasi bulan depan ,Positive,Neutral,Other,Other
siapapun gubernur dan presidennya rakyatnya ya kita juga ,Positive,Neutral,Other,Other
ini sih kerjaannya delay mulu setan ,Negative,Hate Speech & Abusive,Group,Other
menurutku pintu sorga ada yaitu pintu sorga yang asli dan pintu hatimu modus banget,Positive,Neutral,Other,Other
 partai komunis indonesia hanya muncul jika jelang pemilihan kepala daerah dan pemilihan presiden karena digoreng sampai gosong ,Negative,Hate Speech,Group,Race
 itu adalah sudah nenek nenek saya heran sama cebong biasanya bohong terus ,Negative,Hate Speech & Abusive,Individual,Other
 islam nusantara produk jil dipasarkan dengan gencar oleh antek xc2 xb2 jil dan sementara jil anti arab tapi pro asing dan kata almarhum kh hasyim muzadi ,Negative,Hate Speech,Group,Religion
dari habis sahur sampai jam 10 si bayi sudah nete empat kali sekarang rasanya lemas tak terkira xf0 x9f xa4 xa2 ,Positive,Neutral,Other,Other
 tidak kak emak adalah tidak suka sama yang sipit wkwk ,Positive,Neutral,Other,Other
 kelakuan homo jaman now ngentot saja sambil live di blued gay video gvid lokal hangat uniform resource locator,Negative,Abusive,Other,Other
 tidak kak gue bukan orang jawa maaf ya gue orang palembang soalnya kakak saja deh yang belajar aksara jawa atau kelak mau belajar budaya palembang ,Positive,Neutral,Other,Other
pegawai guardian training lagi kayak mentang mentang gue kayak gembel cuma kaos sama flat shoes bertanya dijutekin bangsat memang malas belinya juga kabur gue ke matahari ,Negative,Hate Speech & Abusive,Group,Other
 xe2 x80 x9dpara bajingan yang telah melukai lady harus menerima ganjaran seratus kali lipat xe2 x80 x9d sanji selamat ulang tahun pelaut jkt48 ,Negative,Abusive,Other,Other
ajakan menolak berita hoaks dan sukseskan pilihan kepala daerah di wilayah kota kediri ,Positive,Neutral,Other,Other
 presiden ri jokowi luar biasa kerja nya tulus ikhlas untuk rakyat bersama jokowi,Positive,Neutral,Other,Other
edan memang tujuannya fabiano ,Negative,Abusive,Other,Other
tidak pernah mendalami al alquran ya bang pantas saja mulutnya kayak orang kafir bejat hina farhat abbas law ,Negative,Hate Speech & Abusive,Individual,Religion
sangat terlihat beda sekali kewibawaannya yang sangat berwibawa cuma gubernur indonesia masya allah ,Positive,Neutral,Other,Other
anjir baru kali ini lihat orang bego mau debat pilihan kepala daerah kerjanya menyerang karakter kecewa on kamu empok silvy and agus debat final pemilihan kepala daerah jakarta,Negative,Hate Speech & Abusive,Group,Other
 gubernur zaman now gus ipul puti 2 ganjar yasin 1 djarot sihar 2 hasan anton 2 koster ace 1 nurdin sudirman 3 karolin gidot 2 keanekaragaman budaya suku agama itulah sesungguhnya kekayaan kita tutur djarot di hadapan pese a rakercabsu ,Positive,Neutral,Other,Other
 apa iya islam itu tidak boleh di lokalisasi lah kristen saja mas ada nusantaranya mas lihat saja di gereja di bandung ada yang pakai gamelan dan ada yang khotbah pakai bahas sunda jawa ada huria kristen batak protestan juga kurang nusantara apa ,Positive,Neutral,Other,Other
ciptakan situasi keamanan dan ketertiban masyarakat menjelang pilihan kepala daerah 2018 kepala kepolisian sektor konang silaturahmi ke tokoh masyarakat,Positive,Neutral,Other,Other
 positif kok nse positif respon masyarakat terhadap dan cangkul impor dan garam impor dan beras impor dan jagung impor dan tenaga kerja impor dan esemka impor dan nurl,Positive,Neutral,Other,Other
 kata sembahyang mengadopsi tradisi lokal pada masa pekerjaan hindu dan istilah xc2 xa0sembahyang xc2 xa0pun lahir dari tradisi ritus xc2 xa0menyembahhyang yang tunggal sama dengan xc2 xa0shalat menyembah all,Positive,Neutral,Other,Other
kamu pendidikan tinggi tapi bodoh tidak ada larang bawa agama biar orang islam yang di bayar ahok sadar tidak jadi memilih ahok gila,Negative,Hate Speech & Abusive,Individual,Other
 ahok the best abaikan kaum kampret otak micin ,Negative,Hate Speech & Abusive,Group,Other
 sih otak tempurung adalah tidak usah di meladeni semakin di lawan semakin belum dan dungu dan kalau tidak begitu dia tidak makan hehe ,Negative,Hate Speech & Abusive,Individual,Other
 awaasss jangan sampai beritanya sampai ke saudara gerung nanti susah mencari kosakatanya kalau bocor saja memicing mata bibir monyong kesamping suara keluar ky lagi nhn kentut politik kotor sekali zaman ini kalau tahu b ini pulang sambil ky nhn ngeden dungu xf0 x9f x98 x8b,Negative,Hate Speech & Abusive,Individual,Physical
